date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-09-12,112823228.4867755,-0.01006047041372405,9638374797.562937,1.719305018346761,9598092.526150556,0.0017322787594427856,102985863.83767128,9837364.649104223,-0.036827147
2025-09-15,113451891.44122542,0.0070387360747457125,9802678106.605581,1.4562897308146363,9763562.50011978,0.0014666303755757036,101446666.91293716,12005224.52828826,-0.012499988
2025-09-16,112822837.39846866,-0.004257031904702317,9948757844.037346,1.2875919085707115,9909648.221362425,0.0012876446517273493,100951730.96966743,11871106.42880123,-0.020104289
2025-09-17,112831915.15616108,0.0012667865637470178,10082933516.519455,1.1892598659633624,10043492.918170193,0.001186326278385061,101756604.77285385,11075310.383307228,-0.015197575
2025-09-18,110928800.45836692,-0.015482453295723314,10239386646.83557,1.3866035163861299,10199692.759292083,0.0013843586799506744,100516268.3046341,10412532.153732827,-0.016203701
2025-09-19,110667189.20311376,-0.0008428355941240601,10407350694.875292,1.5141608612522734,10367809.273105437,0.0015155353084021718,100117842.01593399,10549347.187179767,0.004705906
2025-09-22,108807095.27923906,-0.015190859662078672,10586805843.095783,1.6215750080281446,10546773.456598934,0.0016171386007196203,99418641.7295456,9388453.549693462,-0.021077335
2025-09-23,109132092.42195477,0.004623733452599967,10764705290.634493,1.6349985916098042,10724871.320206076,0.0016368221497879108,99524904.59899902,9607187.822955746,-0.007177055
2025-09-24,108746657.99331698,-0.002351220090581249,10893048802.505068,1.1760382214091527,10853712.180614194,0.0011805955292230638,98273613.95568848,10473044.037628504,-0.018473864
2025-09-25,108679322.68806694,0.0011890963070508168,11089834267.431501,1.809577126853195,11050357.735288199,0.0018082905562586573,98682744.70996857,9996577.978098376,0.017184973
2025-09-26,107165904.58267567,-0.012422943505167039,11253482589.918331,1.5057907837403044,11213658.754745804,0.001502595115782179,98027233.6824894,9138670.900186263,-0.014481127
2025-09-29,107127299.08525741,0.0010185485960739738,11401141753.274874,1.3778558015401945,11361417.93382374,0.0013787890808493483,97936355.92136383,9190943.163893579,-0.015510142
2025-09-30,107235467.75519285,0.002466580688512744,11556577503.186707,1.450944355351749,11517487.39102453,0.0014568598156906927,96933179.47058678,10302288.284606073,-0.01326704
2025-10-09,108628678.28556143,0.014700311162273327,11739600700.84329,1.706741262829256,11700671.604289211,0.001708242777313859,98187542.9980278,10441135.287533624,-0.008403301
2025-10-10,106164195.08798325,-0.02144303611452797,11875384689.33845,1.2499828833249012,11835826.130316654,0.0012441882582070153,97117139.2619133,9047055.826069944,0.0033898354
2025-10-13,106117293.06092046,0.0010547365900832949,12033137930.040125,1.4859363891087565,11994703.41849548,0.0014965242099481532,94981019.5687294,11136273.492191058,0.056587815
2025-10-14,105491713.90291046,-0.005028311026448323,12126217267.211203,0.877136369447741,12086691.821710411,0.0008668559153890425,96629296.7262268,8862417.176683648,0.020783424
2025-10-15,105857647.71557142,0.005096622922914426,12297686055.716518,1.6254242362876716,12258409.496304553,0.0016277835314362445,96669176.03583336,9188471.67973806,0.031323433
2025-10-16,104975372.79394329,-0.007040423945585948,12434252997.190145,1.2900999070050034,12395401.700132575,0.0012941172110314202,95073368.60923767,9902004.184705619,0.011389494
